"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pid,pid_assignment,,text,PID,,,,,,,,,,,,,
scr_id,pid_assignment,,text,"Screening number
<i>If different from PID</i>",,,,,,,,,,,,,
screening_date,screening_checklist,"Screening checklist",text,"Date of screening",,,date_dmy,,,,,,,,,,
notes1,screening_checklist,,descriptive,"<font size=""3"" color=""blue"">Add relevant criteria for eligibility in the list below</font>",,,,,,,,,,,,,@readonly
scr_crit,screening_checklist,,radio,"Screening criteria met","1, Yes | 0, No",,,,,,,,,,scr_checklist,,
scr_literacy_assesment,screening_checklist,,radio,"Literacy assesment administered","1, Yes | 0, No",,,,,,,,,,scr_checklist,,
scr_all_samples_taken,screening_checklist,,radio,"All necessary samples taken","1, Yes | 0, No",,,,,,,,,,scr_checklist,,
screening_consent_signed,screening_checklist,,radio,"Screening consent signed","1, Yes | 0, No",,,,,,,,,,scr_checklist,,
literacy_test_date,screening_checklist,"Literacy assessment details",text,"Date of literacy test",,,date_dmy,,,,"[scr_literacy_assesment] = '1'",,,,,,
literacy_assess_comp,screening_checklist,,radio,"Has the participant completed the literacy assessment?","1, Yes | 0, No",,,,,,"[scr_literacy_assesment] = '1'",,,,scr_literacy,,
literacy_impartial_witness,screening_checklist,,radio,"Does the participant require an impartial witness?","1, Yes | 0, No",,,,,,"[scr_literacy_assesment] = '1'",,,,scr_literacy,,
do_consent,screening_checklist,"Screening outcome",descriptive,"<font size=""3"" color=""green"">Proceed with study main consent</font>",,,,,,,"[scr_crit] = '1' and [scr_all_samples_taken] = '1' and [scr_literacy_assesment] = '1'",,,,,,@readonly
do_not_consent,screening_checklist,,descriptive,"<font size=""3"" color=""red"">Do not proceed with study main consent</font>",,,,,,,"[scr_crit] = '0' or [scr_all_samples_taken] = '0' or [scr_literacy_assesment] = '0'",,,,,,@readonly
scr_failure_reason,screening_checklist,,dropdown,"Screening failure reason","1, Does not meet criteria | 2, Samples flagged | 3, Too ill to participate",,,,,,"[scr_crit] = '0'",,,,,,
enr_date,enrolment_checklist,"Enrolment checklist",text,"Date of enrolment",,,date_dmy,,,,"[enr_icf_language] = '1' and [enr_icf_completed] = '1' and [enr_icf_quality_control] = '1' and [enr_icf_copy] = '1' and [enr_aou_done] = '1' and [enr_pat_concerns] = '1'",,,,,,
notes8,enrolment_checklist,,descriptive,"<font size=""3"" color=""blue"">Add relevant criteria for enrolment in the list below</font>",,,,,,,,,,,,,@readonly
enr_icf_language,enrolment_checklist,,radio,"ICF provided in language of choice","1, Yes | 0, No",,,,,,"[screening_consent_signed] = '1'",,,,enrolment_checklist,,
enr_icf_completed,enrolment_checklist,,radio,"ICF completed","1, Yes | 0, No",,,,,,"[screening_consent_signed] = '1'",,,,enrolment_checklist,,
enr_icf_quality_control,enrolment_checklist,,radio,"ICF quality control done","1, Yes | 0, No",,,,,,"[screening_consent_signed] = '1'",,,,enrolment_checklist,,
enr_icf_copy,enrolment_checklist,,radio,"ICF signed copy provided to participant","1, Yes | 0, No",,,,,,"[screening_consent_signed] = '1'",,,,enrolment_checklist,,
enr_aou_done,enrolment_checklist,,radio,"Assessment of understanding done","1, Yes | 0, No",,,,,,"[screening_consent_signed] = '1'",,,,enrolment_checklist,,
enr_pat_concerns,enrolment_checklist,,radio,"Concerns raised by participant","1, Yes | 0, No",,,,,,"[screening_consent_signed] = '1'",,,,enrolment_checklist,,
enr_scheduling,enrolment_checklist,,radio,"Participant visits scheduled","1, Yes | 0, No",,,,,,"[screening_consent_signed] = '1'",,,,enrolment_checklist,,
enr_concern_details,enrolment_checklist,,notes,"Details of concerns ",,,,,,,"[enr_pat_concerns] = '1'",,LV,,,,
enr_concerns_addressed,enrolment_checklist,,notes,"How were concerns addressed?",,,,,,,"[enr_pat_concerns] = '1'",,LV,,,,
do_enrol,enrolment_checklist,,descriptive,"<font size=""3"" color=""green"">Proceed with enrolling participant</font>",,,,,,,"[enr_icf_language] = '1' and [enr_icf_completed] = '1' and [enr_icf_quality_control] = '1' and [enr_icf_copy] = '1' and [enr_aou_done] = '1'",,,,,,@readonly
do_not_enrol,enrolment_checklist,,descriptive,"<font size=""3"" color=""red"">Do not proceed with enrolling participant</font>",,,,,,,"[enr_icf_language] = '0' or [enr_icf_completed] = '0' or [enr_icf_quality_control] = '0' or [enr_icf_copy] = '0' or [enr_aou_done] = '0'",,,,,,@readonly
